day_num,date,detected
1,21/02/2020,1
3,23/02/2020,2
7,27/02/2020,3
8,28/02/2020,7
9,01/03/2020,10
10,02/03/2020,12
11,04/03/2020,15
12,05/03/2020,17
13,06/03/2020,21
14,07/03/2020,25
15,08/03/2020,39
16,09/03/2020,50
17,10/03/2020,70
18,11/03/2020,82
19,12/03/2020,109
20,13/03/2020,143
21,14/03/2020,193
22,15/03/2020,213
23,16/03/2020,298
24,17/03/2020,337
25,18/03/2020,433
26,19/03/2020,677
27,20/03/2020,705
28,21/03/2020,883
29,22/03/2020,1071
30,23/03/2020,1442
31,24/03/2020,1930
32,25/03/2020,2369
33,26/03/2020,2693
34,27/03/2020,3035
35,28/03/2020,3619
36,29/03/2020,4247
37,30/03/2020,4695
38,31/03/2020,5358
39,01/04/2020,6098
40,02/04/2020,6857
41,03/04/2020,7428
42,04/04/2020,7851
